id,title,authors,year,venue,doi,url,arxiv_id,topic,notes,local_pdf
lee2022coauthor,CoAuthor: Designing a Human-AI Collaborative Writing Dataset for Exploring Language Model Capabilities,"Lee, Liang, Yang",2022,CHI '22,10.1145/3491102.3502030,https://doi.org/10.1145/3491102.3502030,2201.06796,cowriting_dataset,Public co-writing sessions; no unaided control; accept-dose check. Local: lee2022coauthor_2201.06796.pdf,lee2022coauthor_2201.06796.pdf
padmakumar2024diversity,Does Writing with Language Models Reduce Content Diversity?,"Padmakumar, He",2024,ICLR 2024,,https://arxiv.org/abs/2309.05196,2309.05196,homogenization,Primary keep claim: InstructGPT homogenizes; GPT-3 does not; authorship split.,padmakumar2024diversity_2309.05196.pdf
moon2026disjunction,The Link Between Diverse Words and Original Ideas Is Weakening in the AI-Era College Admissions,"Moon, Kushlev, Bank, Luttges, Viskontas, Kaufman, Johnson, Duckworth, Green",2026,PsyArXiv,10.31234/osf.io/jsz58_v6,https://doi.org/10.31234/osf.io/jsz58_v6,,semantic_disjunction,"Model prior narrow; observational word diversity up, document distance down. Data OSF yd94z.",moon2026disjunction_jsz58_v6.pdf
simsek2025companion,Is ChatGPT a Good Study Companion? The Role of AI-Generated Summaries and Reflective Prompts in Learning from Educational Videos,"Simsek, Anders, Goth, Specht, Huff",2025,Computers and Education: Artificial Intelligence,10.1016/j.caeai.2025.100512,https://doi.org/10.1016/j.caeai.2025.100512,,learning_companion,Both arms use ChatGPT; debt vs unaided not identified. Local PDF converted from OSF preprint docx.,simsek2025companion_h2se3.pdf
lee2025critical,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,"Lee, Sarkar, Tankelevitch, Drosos, Rintel, Banks, Wilson",2025,CHI '25,10.1145/3706598.3713778,https://doi.org/10.1145/3706598.3713778,,critical_thinking_offloading,Survey n=319 knowledge workers; 936 GenAI use cases.,lee2025critical_chi2025.pdf
barcaui2025crutch,ChatGPT as a cognitive crutch: Evidence from a randomized controlled trial on knowledge retention,"Barcaui, A.",2025,Social Sciences & Humanities Open,10.1016/j.ssaho.2025.102287,https://doi.org/10.1016/j.ssaho.2025.102287,,retention,RCT n=120; 45-day retention 57.5% vs 68.5%; d=0.68. External; microdata closed.,barcaui2025crutch_ssho.pdf
acemoglu2026collapse,"AI, Human Cognition and Knowledge Collapse","Acemoglu, Kong, Ozdaglar",2026,NBER Working Paper 34910,10.3386/w34910,https://doi.org/10.3386/w34910,,knowledge_collapse,Dynamic model of agentic AI and collective knowledge erosion.,acemoglu2026collapse_nber34910.pdf
anderson2024homogenization,Homogenization Effects of Large Language Models on Human Creative Ideation,"Anderson, Shah, Kreminski",2024,C&C '24,10.1145/3635636.3656204,https://doi.org/10.1145/3635636.3656204,2402.01536,homogenization,External ideation homogenization; microdata closed. Prefer _cc2024.pdf.,anderson2024homogenization_cc2024.pdf
kosmyna2025eeg,Your Brain on ChatGPT: Accumulation of Cognitive Debt when Using an AI Assistant for Essay Writing Task,Kosmyna et al.,2025,arXiv preprint,10.48550/arXiv.2506.08872,https://arxiv.org/abs/2506.08872,2506.08872,cognitive_debt,External cognitive debt; microdata closed. Leave open in our paper.,kosmyna2025eeg_2506.08872.pdf
dellacqua2025frontier,Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality,"Dell'Acqua, McFowland, Mollick, Lifshitz-Assaf, Kellogg, et al.",2025,Organization Science,10.1287/orsc.2025.21838,https://doi.org/10.1287/orsc.2025.21838,,performance_vs_competence,Field experiment with knowledge workers; jagged AI frontier.,dellacqua2025frontier_jagged.pdf
parasuraman1997automation,"Humans and Automation: Use, Misuse, Disuse, Abuse","Parasuraman, Riley",1997,Human Factors,10.1518/001872097778543886,https://doi.org/10.1518/001872097778543886,,automation_bias,Classic automation bias framework.,parasuraman1997automation_hf.pdf
risko2016offloading,Cognitive Offloading,"Risko, Gilbert",2016,Trends in Cognitive Sciences,10.1016/j.tics.2016.07.002,https://doi.org/10.1016/j.tics.2016.07.002,,offloading,Review of cognitive offloading.,risko2016offloading_tics.pdf
